"Prey_OS_ID","Prey_Detail_Code","CommonName_DB","pred.name","PreyWt","Prey_Count","length.range","prey.name"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.3,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.286,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.091,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.079,NA,"016-20","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.076,NA,"011-15","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.196,NA,"036-40","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.769,NA,"026-30","other"
4950,81,"POLYCHAETE","Greenland halibut",0.455,NA,"026-30","other"
8530,81,"BRITTLE STAR","Greenland halibut",1.019,NA,"031-35","other"
8290,81,"SEA CUCUMBER","Greenland halibut",0.661,NA,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.452,NA,"031-35","other"
8112,NA,"SHRIMP","Greenland halibut",6.115,1,"031-35","montagui"
8112,NA,"SHRIMP","Greenland halibut",3.235,1,"031-35","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.69,1,"026-30","montagui"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.143,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.476,NA,"026-30","other"
10763,NA,"Anemone","Greenland halibut",2.786,1,"026-30","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.009,NA,"026-30","other"
8112,NA,"SHRIMP","Greenland halibut",2.972,1,"026-30","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.185,1,"026-30","montagui"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.025,1,"021-25","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.632,NA,"021-25","other"
6000,81,"CRUSTACEAN","Skate",4.398,NA,"041-45","other"
8093,81,"SHRIMP","Skate",1.131,NA,"041-45","other"
8178,NA,"HERMIT CRAB","Skate",1.432,1,"041-45","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",3.561,1,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.643,NA,"021-25","other"
8112,NA,"SHRIMP","Greenland halibut",0.934,1,"021-25","montagui"
8112,NA,"SHRIMP","Greenland halibut",2.404,2,"021-25","montagui"
717,88,"DAUBED SHANNY","Greenland halibut",6.787,1,"031-35","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",7.787,1,"031-35","other"
8112,NA,"SHRIMP","Greenland halibut",1.545,1,"016-20","montagui"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.475,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",3.25,1,"026-30","other"
8138,NA,"SHRIMP","Greenland halibut",6.553,1,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
6930,81,"AMPHIPOD","Greenland halibut",0.285,NA,"011-15","other"
4950,81,"POLYCHAETE","Greenland halibut",0.628,NA,"011-15","other"
451,88,"ARCTIC COD","Greenland halibut",13.925,1,"036-40","other"
7967,NA,"MYSID","Greenland halibut",0.122,1,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.038,1,"011-15","other"
8085,NA,"SHRIMP","Skate",2.623,1,"041-45","other"
8085,NA,"SHRIMP","Skate",6.59,2,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",12.265,NA,"041-45","other"
999,81,"UNIDENTIFIED FISH","Skate",3.084,NA,"041-45","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"041-45","other"
10560,81,"MYSID","Skate",0.442,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",11.02,NA,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",9.855,NA,"026-30","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",7.128,NA,"036-40","other"
9998,NA,"EMPTY","Skate",NA,NA,"041-45","other"
9998,NA,"EMPTY","Skate",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.184,NA,"071-75","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.182,NA,"071-75","Unidentified material"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"071-75","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"071-75","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"071-75","other"
272,88,"LANTERNFISHES","Greenland halibut",5.983,1,"066-70","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",11.124,NA,"066-70","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"066-70","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"066-70","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",15.982,NA,"066-70","Unidentified material"
10016,NA,"GAMMARID AMPHIPOD","Greenland halibut",1.276,1,"066-70","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.558,NA,"066-70","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.707,NA,"066-70","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"076-80","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"066-70","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
8112,NA,"SHRIMP","Greenland halibut",6.959,2,"066-70","montagui"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.937,NA,"061-65","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",4.668,NA,"061-65","other"
8110,81,"SHRIMP","Greenland halibut",4.597,NA,"061-65","Pandalus"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",2.712,NA,"061-65","other"
8112,81,"SHRIMP","Greenland halibut",0.301,NA,"061-65","montagui"
436,88,"GADOIDS","Greenland halibut",0,NA,"061-65","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
8112,NA,"SHRIMP","Greenland halibut",28.428,1,"056-60","montagui"
8112,NA,"SHRIMP","Greenland halibut",19.87,1,"056-60","montagui"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.088,NA,"051-55","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.418,NA,"051-55","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.026,NA,"051-55","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
4769,NA,"SQUID","Greenland halibut",17.137,1,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",5.606,NA,"041-45","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.345,NA,"041-45","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",3.557,NA,"041-45","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",4.495,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.607,NA,"036-40","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",0.183,NA,"031-35","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"031-35","other"
451,88,"ARCTIC COD","Greenland halibut",0,NA,"031-35","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.029,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.09,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.156,NA,"021-25","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
6930,81,"AMPHIPOD","Greenland halibut",0.215,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.689,NA,"016-20","Unidentified material"
6930,NA,"AMPHIPOD","Greenland halibut",0.847,1,"016-20","other"
6000,81,"CRUSTACEAN","Redfish",0.008,NA,"011-15","other"
7933,NA,"MYSID","Redfish",0.64,2,"021-25","other"
7935,NA,"MYSID","Redfish",2.645,4,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.277,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
4950,81,"POLYCHAETE","Greenland halibut",0.039,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
7933,NA,"MYSID","Greenland halibut",0.25,1,"021-25","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",7.486,NA,"021-25","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"021-25","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.818,NA,"026-30","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.067,NA,"026-30","other"
853,88,"SEASNAILS","Greenland halibut",3.317,1,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.998,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.833,NA,"031-35","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",2.381,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"031-35","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.005,NA,"036-40","other"
999,90,"UNIDENTIFIED FISH","Greenland halibut",0.102,NA,"036-40","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",3.609,NA,"036-40","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",1.503,NA,"036-40","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
7935,NA,"MYSID","Greenland halibut",0.733,1,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.01,NA,"046-50","other"
7935,NA,"MYSID","Greenland halibut",0.399,1,"046-50","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",3.849,NA,"046-50","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"046-50","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"046-50","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",8.059,NA,"046-50","Unidentified material"
7935,NA,"MYSID","Greenland halibut",0.765,1,"046-50","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",1.121,NA,"046-50","other"
6000,81,"CRUSTACEAN","Greenland halibut",0.136,NA,"046-50","other"
6930,81,"AMPHIPOD","Greenland halibut",17.463,NA,"046-50","other"
7933,81,"MYSID","Greenland halibut",0.19,NA,"046-50","other"
7935,NA,"MYSID","Greenland halibut",1.02,1,"046-50","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",10.641,NA,"051-55","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"051-55","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"051-55","other"
6080,81,"COPEPOD","Greenland halibut",0.099,NA,"051-55","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",8.03,1,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
8112,NA,"SHRIMP","Greenland halibut",7.054,1,"056-60","montagui"
892,88,"GREENLAND HALIBUT, TURBOT","Greenland halibut",11.135,1,"056-60","other"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",1.699,1,"056-60","other"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",4.661,1,"056-60","other"
8112,NA,"SHRIMP","Greenland halibut",3.248,1,"056-60","montagui"
7935,NA,"MYSID","Greenland halibut",0.544,1,"056-60","other"
8112,NA,"SHRIMP","Greenland halibut",9.261,2,"061-65","montagui"
859,88,"GELATINOUS SEASNAIL","Greenland halibut",15.738,1,"051-55","other"
8112,NA,"SHRIMP","Greenland halibut",10.382,2,"051-55","montagui"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
8196,NA,"SPINY CRAB","Skate",59.555,2,"046-50","other"
6996,NA,"GAMMARID AMPHIPOD","Skate",0.319,1,"046-50","other"
999,81,"UNIDENTIFIED FISH","Skate",3.381,NA,"046-50","other"
999,88,"UNIDENTIFIED FISH","Skate",0,NA,"046-50","other"
9998,NA,"EMPTY","Skate",NA,NA,"046-50","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.075,2,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.195,NA,"011-15","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.133,7,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.164,NA,"011-15","other"
6967,81,"HYPERID AMPHIPOD","Greenland halibut",0.057,NA,"011-15","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"016-20","other"
6967,NA,"HYPERID AMPHIPOD","Greenland halibut",0.072,1,"021-25","other"
8111,NA,"SHRIMP","Greenland halibut",5.839,1,"036-40","borealis"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",0.242,NA,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.278,NA,"031-35","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
290,88,"GLACIER LANTERNFISH","Greenland halibut",4.21,1,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",8.666,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
6000,81,"CRUSTACEAN","Skate",1.26,NA,"036-40","other"
8111,NA,"SHRIMP","Atlantic cod",21.621,2,"046-50","borealis"
8110,NA,"SHRIMP","Atlantic cod",12.619,4,"046-50","Pandalus"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
6967,81,"HYPERID AMPHIPOD","Redfish",0.03,NA,"021-25","other"
7933,81,"MYSID","Redfish",0.589,NA,"021-25","other"
6000,81,"CRUSTACEAN","Redfish",0.495,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"016-20","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
8111,NA,"SHRIMP","Greenland halibut",16.007,2,"041-45","borealis"
8111,NA,"SHRIMP","Greenland halibut",6.31,1,"041-45","borealis"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
8111,NA,"SHRIMP","Greenland halibut",7.164,1,"036-40","borealis"
8111,NA,"SHRIMP","Greenland halibut",10.701,2,"036-40","borealis"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.259,NA,"031-35","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
10011,NA,"SQUID","Greenland halibut",3.118,1,"026-30","other"
8019,81,"DECAPOD","Skate",14.18,NA,"036-40","other"
10310,NA,"SQUAT LOBSTER","Skate",4.144,1,"036-40","other"
9998,NA,"EMPTY","Skate",NA,NA,"036-40","other"
8111,81,"SHRIMP","Skate",10.912,NA,"041-45","borealis"
9998,NA,"EMPTY","Skate",NA,NA,"041-45","other"
6000,81,"CRUSTACEAN","Redfish",0.002,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.213,NA,"026-30","Unidentified material"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
6000,81,"CRUSTACEAN","Redfish",0.469,NA,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.462,NA,"031-35","Unidentified material"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.348,NA,"031-35","Unidentified material"
4545,86,"CEPHALOPOD","Redfish",0.006,NA,"031-35","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.013,NA,"031-35","Unidentified material"
999,88,"UNIDENTIFIED FISH","Redfish",0,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"041-45","other"
8111,NA,"SHRIMP","Greenland halibut",17.122,1,"041-45","borealis"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
8020,NA,"SHRIMP/SHRIMP SAMPLE","Greenland halibut",1.603,1,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"036-40","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Skate",NA,NA,"041-45","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",0.275,NA,"016-20","Unidentified material"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Redfish",1.715,NA,"031-35","Unidentified material"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"021-25","other"
9980,NA,"UNIDENTIFIED MATERIAL","Greenland halibut",0.16,NA,"021-25","Unidentified material"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9998,NA,"EMPTY","Redfish",NA,NA,"021-25","other"
9998,NA,"EMPTY","Redfish",NA,NA,"026-30","other"
9998,NA,"EMPTY","Redfish",NA,NA,"031-35","other"
6967,81,"HYPERID AMPHIPOD","Redfish",0.05,NA,"031-35","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"081-85","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"061-65","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"056-60","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"051-55","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"046-50","other"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"026-30","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",1.216,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
436,88,"GADOIDS","Greenland halibut",0,NA,"026-30","other"
999,81,"UNIDENTIFIED FISH","Greenland halibut",4.793,NA,"026-30","other"
999,88,"UNIDENTIFIED FISH","Greenland halibut",0,NA,"026-30","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",0.703,NA,"011-15","Unidentified material"
8140,81,"MALACOSTRACAN","Skate",3.097,NA,"036-40","other"
8112,5,"SHRIMP","Skate",1.187,1,"036-40","montagui"
6000,81,"CRUSTACEAN","Skate",0.549,NA,"036-40","other"
4950,81,"POLYCHAETE","Skate",1.281,NA,"036-40","other"
8111,81,"SHRIMP","Skate",7.687,NA,"046-50","borealis"
9998,NA,"EMPTY","Greenland halibut",NA,NA,"011-15","other"
451,88,"ARCTIC COD","Skate",48.856,1,"036-40","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",4.441,8,"036-40","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.595,4,"036-40","other"
6996,81,"GAMMARID AMPHIPOD","Skate",2.282,NA,"036-40","other"
8020,81,"SHRIMP/SHRIMP SAMPLE","Skate",6.551,NA,"036-40","other"
9980,NA,"UNIDENTIFIED MATERIAL","Skate",13.175,NA,"036-40","Unidentified material"
5459,NA,"POLYCHAETE","Skate",3.401,1,"036-40","other"
6999,NA,"GAMMARID AMPHIPOD","Skate",1.774,4,"036-40","other"
6999,81,"GAMMARID AMPHIPOD","Skate",0.94,NA,"036-40","other"
4949,81,"ANNELID","Skate",2.441,NA,"036-40","other"
4545,81,"CEPHALOPOD","Skate",0.874,NA,"036-40","other"
8081,NA,"SHRIMP","Skate",0.963,1,"036-40","other"
