"ContentKey","Prey_OS_ID","PreyWt","Prey_Count","OS_ID","Length","Trawl_ID","Year","Start.Depth","End.Depth","Study.Area","Scientific.Name","CommonName","Start.Lat.Degree","Start.Lat.Minutes","Start.Long.Degree","Start.Long.Minutes","FishKey","region","pred.name","depth","length.range","trawl.sample"
"62114003_892_3_1_-14_1733",6967,0.3,NA,892,24.5,62114003,2019,269,271,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",57,45.1041,60,24.1561,"62114003_892_3_1_-14","SFA4","Greenland halibut","200-300 ","21-25",1
"62114004_95_3_1_-36_1553",6000,4.398,NA,95,45.5,62114004,2019,290,289,"2G","RAJA HYPERBOREA = AMBLYRAJA HYPERBOREA","ARCTIC SKATE",57,48.3727,60,23.5588,"62114004_95_3_1_-36","SFA4","Skate","200-300 ","41-45",1
"62114013_892_3_1_-41_1691",8020,3.561,1,892,35,62114013,2019,182,184,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,33.3829,62,5.1611,"62114013_892_3_1_-41","SFA4","Greenland halibut","100-200 ","31-35",1
"62114014_892_3_1_-63_380",8112,1.545,1,892,19,62114014,2019,161,163,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",58,32.515,61,56.0237,"62114014_892_3_1_-63","SFA4","Greenland halibut","100-200 ","16-20",1
"62114087_892_3_1_-1136_411",451,13.925,1,892,36.2,62114087,2019,225,225,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,32.3094,65,57.3264,"62114087_892_3_1_-1136","EAZ","Greenland halibut","200-300 ","36-40",1
"62114089_89_3_1_-1169_1789",8020,9.855,NA,89,28,62114089,2019,603,604,"RISA","RAJA SP","SKATE",60,44.19,65,36.7696,"62114089_89_3_1_-1169","EAZ","Skate","500-750 ","26-30",1
"62114090_794_3_1_-1242_105",6000,0.008,NA,794,13.5,62114090,2019,421,427,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",60,42.277,65,30.9406,"62114090_794_3_1_-1242","EAZ","Redfish","400-500 ","11-15",1
"62114093_794_3_1_-1275_272",9998,NA,NA,794,27.7,62114093,2019,506,504,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",61,55.3992,63,25.6676,"62114093_794_3_1_-1275","EAZ","Redfish","500-750 ","26-30",1
"62114096_89_3_1_-1292_1592",6996,0.319,1,89,48,62114096,2019,248,239,"RISA","RAJA SP","SKATE",62,24.5219,63,23.3753,"62114096_89_3_1_-1292","EAZ","Skate","200-300 ","46-50",1
"62114021_792_3_1_-152_1549",9998,NA,NA,792,28,62114021,2019,720,695,"2G","SEBASTES SP","REDFISH",58,8.3283,59,47.3471,"62114021_792_3_1_-152","SFA4","Redfish","500-750 ","26-30",1
"62114023_438_3_1_-196_1623",8111,21.621,2,438,46.2,62114023,2019,382,382,"2G","GADUS MORHUA","ATLANTIC COD",58,10.2347,59,50.6238,"62114023_438_3_1_-196","SFA4","Atlantic cod","300-400 ","46-50",1
"62114024_792_3_1_-202_1840",6000,0.002,NA,792,22,62114024,2019,425,420,"2G","SEBASTES SP","REDFISH",58,16.6855,59,45.5836,"62114024_792_3_1_-202","SFA4","Redfish","400-500 ","21-25",1
"62114029_792_3_1_-253_1758",9980,0.275,NA,792,18.3,62114029,2019,437,438,"2G","SEBASTES SP","REDFISH",58,31.917,59,58.691,"62114029_792_3_1_-253","SFA4","Redfish","400-500 ","16-20",1
"62114033_794_3_1_-287_1820",9998,NA,NA,794,28,62114033,2019,550,557,"2G","SEBASTES MENTELLA","DEEP WATER REDFISH",58,46.1563,60,2.9132,"62114033_794_3_1_-287","SFA4","Redfish","500-750 ","26-30",1
"62114042_95_3_1_-322_1781",9980,0.703,NA,95,12,62114042,2019,175,175,"2G","RAJA HYPERBOREA = AMBLYRAJA HYPERBOREA","ARCTIC SKATE",58,55.9146,61,0.9215,"62114042_95_3_1_-322","SFA4","Skate","100-200 ","11-15",1
"62114044_892_3_1_-523_1524",9998,NA,NA,892,13.1,62114044,2019,133,133,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",59,23.0889,62,18.3125,"62114044_892_3_1_-523","SFA4","Greenland halibut","100-200 ","11-15",1
"62114049_89_3_1_-617_556",451,48.856,1,89,39,62114049,2019,177,177,"2G","RAJA SP","SKATE",59,18.6709,61,24.2428,"62114049_89_3_1_-617","SFA4","Skate","100-200 ","36-40",1
"62114053_792_3_1_-814_449",9980,0.409,NA,792,18.1,62114053,2019,456,466,"2G","SEBASTES SP","REDFISH",59,7.7323,60,10.3829,"62114053_792_3_1_-814","SFA4","Redfish","400-500 ","16-20",1
"62114054_792_3_1_-822_1854",9998,NA,NA,792,22.5,62114054,2019,524,539,"2G","SEBASTES SP","REDFISH",59,11.1232,60,11.1243,"62114054_792_3_1_-822","SFA4","Redfish","500-750 ","21-25",1
"62114064_892_3_1_-827_1546",9998,NA,NA,892,14,62114064,2019,176,175,"2G","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",59,57.4041,62,5.9091,"62114064_892_3_1_-827","SFA4","Greenland halibut","100-200 ","11-15",1
"62114065_89_3_1_-900_1682",8111,6.752,1,89,48,62114065,2019,156,157,"2G","RAJA SP","SKATE",59,55.7879,62,50.6889,"62114065_89_3_1_-900","SFA4","Skate","100-200 ","46-50",1
"62114072_792_3_1_-1098_1669",7933,0.21,NA,792,17,62114072,2019,341,341,"2G","SEBASTES SP","REDFISH",60,18.5443,61,14.8388,"62114072_792_3_1_-1098","SFA4","Redfish","300-400 ","16-20",1
"62114076_89_3_1_-1103_1887",999,74.582,NA,89,144,62114076,2019,465,464,"2G","RAJA SP","SKATE",60,38.075,61,22.8561,"62114076_89_3_1_-1103","SFA4","Skate","400-500 ","141-145",1
"62114078_89_3_1_-1118_703",9998,NA,NA,89,46,62114078,2019,391,391,"2G","RAJA SP","SKATE",60,32.04,62,31.5734,"62114078_89_3_1_-1118","SFA4","Skate","300-400 ","46-50",1
"62114079_792_3_1_-1125_1526",9998,NA,NA,792,26.4,62114079,2019,291,289,"2G","SEBASTES SP","REDFISH",60,23.0049,62,53.6363,"62114079_792_3_1_-1125","SFA4","Redfish","200-300 ","26-30",1
"62114103_792_3_1_-1301_348",9980,0.021,NA,792,14.6,62114103,2019,330,335,"SFA2EX","SEBASTES SP","REDFISH",62,17.9511,62,37.9658,"62114103_792_3_1_-1301","EAZ","Redfish","300-400 ","11-15",1
"62114104_792_3_1_-1326_847",6083,0.203,NA,792,21.3,62114104,2019,374,371,"SFA2EX","SEBASTES SP","REDFISH",62,15.2921,62,31.8474,"62114104_792_3_1_-1326","EAZ","Redfish","300-400 ","21-25",1
"62114110_794_3_1_-1348_35",7991,0.489,1,794,19.2,62114110,2019,579,573,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",62,41.6604,61,27.0828,"62114110_794_3_1_-1348","EAZ","Redfish","500-750 ","16-20",1
"62114111_794_3_1_-1357_4",9980,0.383,NA,794,21.1,62114111,2019,442,445,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",62,47.5267,61,21.9324,"62114111_794_3_1_-1357","EAZ","Redfish","400-500 ","21-25",1
"62114113_794_3_1_-1365_748",7994,4.36,20,794,28,62114113,2019,385,385,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",62,57.8848,61,15.5434,"62114113_794_3_1_-1365","EAZ","Redfish","300-400 ","26-30",1
"62114114_892_3_1_-1389_1266",6967,0.126,6,892,11.3,62114114,2019,237,243,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",62,57.3559,62,10.4788,"62114114_892_3_1_-1389","EAZ","Greenland halibut","200-300 ","11-15",1
"62114121_794_3_1_-1400_25",9980,0.515,NA,794,23.9,62114121,2019,358,355,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",63,13.0125,61,19.0697,"62114121_794_3_1_-1400","EAZ","Redfish","300-400 ","21-25",1
"62114122_794_3_1_-1422_756",9998,NA,NA,794,10.2,62114122,2019,421,423,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",63,28.871,60,31.454,"62114122_794_3_1_-1422","EAZ","Redfish","400-500 ","6-10",1
"62114128_89_3_1_-1447_1170",8111,18.622,2,89,38.3,62114128,2019,338,339,"SFA2EX","RAJA SP","SKATE",63,42.0365,60,52.3549,"62114128_89_3_1_-1447","EAZ","Skate","300-400 ","36-40",1
"62114130_89_3_1_-1448_1166",9998,NA,NA,89,46.4,62114130,2019,634,634,"SFA2EX","RAJA SP","SKATE",63,47.8887,60,6.8535,"62114130_89_3_1_-1448","EAZ","Skate","500-750 ","46-50",1
"62114137_892_3_1_-1450_37",6967,0.088,2,892,12.5,62114137,2019,375,368,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",64,32.481,60,24.8664,"62114137_892_3_1_-1450","EAZ","Greenland halibut","300-400 ","11-15",1
"62114138_792_3_1_-1458_1011",6080,0.054,NA,792,9.9,62114138,2019,337,360,"SFA2EX","SEBASTES SP","REDFISH",64,34.0665,60,45.4303,"62114138_792_3_1_-1458","EAZ","Redfish","300-400 ","6-10",1
"62114140_438_3_1_-1477_231",6000,2.442,NA,438,33.5,62114140,2019,348,349,"SFA2EX","GADUS MORHUA","ATLANTIC COD",64,36.4048,59,41.7086,"62114140_438_3_1_-1477","EAZ","Atlantic cod","300-400 ","31-35",1
"62114144_794_3_1_-1491_1165",7994,0.711,1,794,21.4,62114144,2019,377,377,"SFA2EX","SEBASTES MENTELLA","DEEP WATER REDFISH",64,8.3465,59,42.6824,"62114144_794_3_1_-1491","EAZ","Redfish","300-400 ","21-25",1
"62114145_892_3_1_-1496_622",9998,NA,NA,892,54.8,62114145,2019,600,597,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",63,53.0071,59,13.3897,"62114145_892_3_1_-1496","EAZ","Greenland halibut","500-750 ","51-55",1
"62114146_89_3_1_-1531_1193",9998,NA,NA,89,43.5,62114146,2019,620,618,"SFA2EX","RAJA SP","SKATE",64,1.6729,59,7.2977,"62114146_89_3_1_-1531","EAZ","Skate","500-750 ","41-45",1
"62114149_89_3_1_-1579_1257",4950,0.05,NA,89,39.7,62114149,2019,617,614,"SFA2EX","RAJA SP","SKATE",64,52.6698,58,25.5044,"62114149_89_3_1_-1579","EAZ","Skate","500-750 ","36-40",1
"62114151_892_3_1_-1545_1186",9998,NA,NA,892,29.5,62114151,2019,570,568,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",65,38.8021,57,49.1669,"62114151_892_3_1_-1545","EAZ","Greenland halibut","500-750 ","26-30",1
"62114152_892_3_1_-1560_1019",9998,NA,NA,892,13.8,62114152,2019,581,582,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",66,1.4092,57,43.5626,"62114152_892_3_1_-1560","EAZ","Greenland halibut","500-750 ","11-15",1
"62114153_892_3_1_-1564_842",9998,NA,NA,892,65.5,62114153,2019,540,537,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",66,14.8871,57,41.2112,"62114153_892_3_1_-1564","EAZ","Greenland halibut","500-750 ","61-65",1
"62114154_892_3_1_-1573_1013",7933,3.978,NA,892,56.2,62114154,2019,584,581,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",66,9.2915,58,24.4529,"62114154_892_3_1_-1573","EAZ","Greenland halibut","500-750 ","56-60",1
"62114155_89_3_1_-1581_603",6000,0.239,NA,89,32.5,62114155,2019,500,500,"SFA2EX","RAJA SP","SKATE",65,45.2161,58,25.4682,"62114155_89_3_1_-1581","EAZ","Skate","400-500 ","31-35",1
"62114161_89_3_1_-1582_586",4846,3.534,1,89,32.4,62114161,2019,438,442,"SFA2EX","RAJA SP","SKATE",65,16.5226,59,40.1346,"62114161_89_3_1_-1582","EAZ","Skate","400-500 ","31-35",1
"62114163_89_3_1_-1583_605",4846,10.295,NA,89,33.5,62114163,2019,497,500,"SFA2EX","RAJA SP","SKATE",65,34.7723,59,51.8354,"62114163_89_3_1_-1583","EAZ","Skate","400-500 ","31-35",1
"62114164_89_3_1_-1584_593",6967,0.037,1,89,31.3,62114164,2019,485,490,"SFA2EX","RAJA SP","SKATE",65,44.42,60,5.7712,"62114164_89_3_1_-1584","EAZ","Skate","400-500 ","31-35",1
"62114169_892_3_1_-1585_790",451,4.005,1,892,41.1,62114169,2019,145,144,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",66,11.2743,61,27.1763,"62114169_892_3_1_-1585","EAZ","Greenland halibut","100-200 ","41-45",1
"62114175_89_3_1_-1612_157",9980,0.259,NA,89,18.1,62114175,2019,272,272,"SFA2EX","RAJA SP","SKATE",65,39.9827,61,24.5501,"62114175_89_3_1_-1612","EAZ","Skate","200-300 ","16-20",1
"62114176_89_3_1_-1650_210",999,33.153,NA,89,41.6,62114176,2019,169,172,"SFA2EX","RAJA SP","SKATE",65,39.2364,61,56.6672,"62114176_89_3_1_-1650","EAZ","Skate","100-200 ","41-45",1
"62114179_89_3_1_-1662_801",9980,0.5,NA,89,22.1,62114179,2019,286,285,"SFA2EX","RAJA SP","SKATE",65,7.9371,60,39.3087,"62114179_89_3_1_-1662","EAZ","Skate","200-300 ","21-25",1
"62114184_89_3_1_-1663_805",6930,0.376,NA,89,37.3,62114184,2019,267,265,"SFA2EX","RAJA SP","SKATE",65,7.329,60,57.742,"62114184_89_3_1_-1663","EAZ","Skate","200-300 ","36-40",1
"62114185_89_3_1_-1664_1917",6000,0.544,NA,89,17.6,62114185,2019,268,267,"SFA2EX","RAJA SP","SKATE",65,13.7371,61,30.8493,"62114185_89_3_1_-1664","EAZ","Skate","200-300 ","16-20",1
"62114186_89_3_1_-1672_1354",2570,0.945,1,89,24.2,62114186,2019,246,249,"SFA2EX","RAJA SP","SKATE",64,53.9605,61,22.8059,"62114186_89_3_1_-1672","EAZ","Skate","200-300 ","21-25",1
"62114187_90_3_1_-1676_266",9998,NA,NA,90,40.4,62114187,2019,261,262,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,47.7399,61,22.923,"62114187_90_3_1_-1676","EAZ","Skate","200-300 ","36-40",1
"62114190_892_3_1_-1686_1306",6967,0.181,NA,892,12.4,62114190,2019,184,181,"SFA2EX","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",65,0.3032,62,36.5648,"62114190_892_3_1_-1686","EAZ","Greenland halibut","100-200 ","11-15",1
"62114192_90_3_1_-1692_969",4545,0.031,NA,90,25.4,62114192,2019,276,289,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,39.7068,63,4.8382,"62114192_90_3_1_-1692","EAZ","Skate","200-300 ","21-25",1
"62114194_90_3_1_-1694_956",6000,0.137,NA,90,23.5,62114194,2019,389,390,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,38.2261,63,24.0016,"62114194_90_3_1_-1694","EAZ","Skate","300-400 ","21-25",1
"62114195_90_3_1_-1696_952",4950,0.126,NA,90,24.1,62114195,2019,363,364,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,33.3499,62,45.8029,"62114195_90_3_1_-1696","EAZ","Skate","300-400 ","21-25",1
"62114196_90_3_1_-1698_963",6930,0.645,NA,90,24.8,62114196,2019,300,297,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,20.2808,62,52.3325,"62114196_90_3_1_-1698","EAZ","Skate","200-300 ","21-25",1
"62114197_90_3_1_-1699_967",726,59.24,1,90,46.1,62114197,2019,320,323,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,24.208,62,30.0279,"62114197_90_3_1_-1699","EAZ","Skate","300-400 ","46-50",1
"62114200_90_3_1_-1702_1261",6930,0.052,NA,90,24.6,62114200,2019,340,339,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,24.613,61,47.0597,"62114200_90_3_1_-1702","EAZ","Skate","300-400 ","21-25",1
"62114201_90_3_1_-1706_236",10560,0.013,1,90,15.4,62114201,2019,343,343,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,22.9333,61,1.0875,"62114201_90_3_1_-1706","EAZ","Skate","300-400 ","11-15",1
"62114205_90_3_1_-1715_1310",999,0.835,NA,90,35,62114205,2019,243,239,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,11.3842,61,53.8629,"62114205_90_3_1_-1715","EAZ","Skate","200-300 ","31-35",1
"62114207_90_3_1_-1717_1345",4950,2.88,NA,90,40.5,62114207,2019,134,135,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,7.0613,62,42.3165,"62114207_90_3_1_-1717","EAZ","Skate","100-200 ","36-40",1
"62114208_90_3_1_-1718_1326",4950,3.782,NA,90,38.1,62114208,2019,324,322,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,10.4584,63,25.0238,"62114208_90_3_1_-1718","EAZ","Skate","300-400 ","36-40",1
"62114209_90_3_1_-1712_631",9998,NA,NA,90,36.5,62114209,2019,322,319,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",64,2.0955,63,25.2934,"62114209_90_3_1_-1712","EAZ","Skate","300-400 ","36-40",1
"62114210_90_3_1_-1726_802",6000,0.503,NA,90,18.3,62114210,2019,230,234,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",63,53.0972,63,31.2296,"62114210_90_3_1_-1726","EAZ","Skate","200-300 ","16-20",1
"62114213_90_3_1_-1731_1167",8020,3.383,NA,90,31.2,62114213,2019,274,278,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",63,30.6367,62,37.7747,"62114213_90_3_1_-1731","EAZ","Skate","200-300 ","31-35",1
"62114215_90_3_1_-1732_1168",6000,0.688,NA,90,27.8,62114215,2019,234,238,"SFA2EX","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",63,17.5021,62,52.2863,"62114215_90_3_1_-1732","EAZ","Skate","200-300 ","26-30",1
"62114224_90_3_1_-1831_129",6000,3.255,NA,90,28.9,62114224,2019,263,271,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",62,3.9559,64,28.8405,"62114224_90_3_1_-1831","EAZ","Skate","200-300 ","26-30",1
"62114230_89_3_1_-1850_49",6000,0.59,NA,89,24.9,62114230,2019,289,299,"RISA","RAJA SP","SKATE",61,59.489,64,44.3115,"62114230_89_3_1_-1850","EAZ","Skate","200-300 ","21-25",1
"62114234_794_3_1_-1876_242",6967,1.861,101,794,17.8,62114234,2019,559,562,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",61,51.5415,63,57.2668,"62114234_794_3_1_-1876","EAZ","Redfish","500-750 ","16-20",1
"62114235_90_3_1_-1879_97",8111,4.201,1,90,33.1,62114235,2019,366,387,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",61,54.2003,64,22.8862,"62114235_90_3_1_-1879","EAZ","Skate","300-400 ","31-35",1
"62114237_794_3_1_-1890_317",9998,NA,NA,794,20.2,62114237,2019,472,475,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",61,44.0776,64,1.5044,"62114237_794_3_1_-1890","EAZ","Redfish","400-500 ","16-20",1
"62114239_90_3_1_-1900_1699",9998,NA,NA,90,40.3,62114239,2019,233,238,"RISA","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",61,35.5781,64,17.4358,"62114239_90_3_1_-1900","EAZ","Skate","200-300 ","36-40",1
"62114241_892_3_1_-1905_987",8111,16.454,NA,892,47.1,62114241,2019,361,357,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",61,35.4411,64,4.7689,"62114241_892_3_1_-1905","EAZ","Greenland halibut","300-400 ","46-50",1
"62114251_892_3_1_-1920_1158",8020,0.821,NA,892,60.5,62114251,2019,376,377,"RISA","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,31.368,63,23.1372,"62114251_892_3_1_-1920","EAZ","Greenland halibut","300-400 ","56-60",1
"62114252_794_3_1_-1943_1411",8111,8.3,1,794,34.9,62114252,2019,390,386,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",60,33.2542,63,42.2462,"62114252_794_3_1_-1943","EAZ","Redfish","300-400 ","31-35",1
"62114269_794_3_1_-1984_249",6967,0.054,1,794,13.3,62114269,2019,537,542,"RISA","SEBASTES MENTELLA","DEEP WATER REDFISH",61,4.487,65,39.0829,"62114269_794_3_1_-1984","EAZ","Redfish","500-750 ","11-15",1
"62114272_892_3_1_-1990_299",8112,7.3,1,892,66.8,62114272,2019,430,428,"SFA3","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,49.3358,66,41.7036,"62114272_892_3_1_-1990","WAZ","Greenland halibut","400-500 ","66-70",1
"62114274_892_3_1_-2007_1172",815,3.612,1,892,40,62114274,2019,210,214,"SFA3","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",60,37.4479,66,20.8157,"62114274_892_3_1_-2007","WAZ","Greenland halibut","200-300 ","36-40",1
"62114289_794_3_1_-2009_881",7935,1.004,2,794,21.9,62114289,2019,451,461,"SFA3","SEBASTES MENTELLA","DEEP WATER REDFISH",60,48.1529,67,15.6602,"62114289_794_3_1_-2009","WAZ","Redfish","400-500 ","21-25",1
"62114293_892_3_1_-2044_1073",6967,0.15,NA,892,15.1,62114293,2019,384,381,"SFA3","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",61,19.3668,66,35.5967,"62114293_892_3_1_-2044","WAZ","Greenland halibut","300-400 ","11-15",1
"62114313_90_3_1_-2085_833",10275,0.3,1,90,26.9,62114313,2019,315,316,"SFA3","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",61,39.424,69,9.6796,"62114313_90_3_1_-2085","WAZ","Skate","300-400 ","26-30",1
"62114314_892_3_1_-2095_635",6000,0.1,NA,892,20,62114314,2019,294,293,"SFA3","REINHARDTIUS HIPPOGLOSSOIDES","GREENLAND HALIBUT, TURBOT",61,40.544,68,42.1953,"62114314_892_3_1_-2095","WAZ","Greenland halibut","200-300 ","16-20",1
"62114315_90_3_1_-2106_795",6000,0.037,NA,90,30.5,62114315,2019,383,378,"SFA3","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",61,26.8543,68,35.2882,"62114315_90_3_1_-2106","WAZ","Skate","300-400 ","26-30",1
"62114316_794_3_1_-2119_996",9980,0.024,NA,794,19,62114316,2019,347,343,"SFA3","SEBASTES MENTELLA","DEEP WATER REDFISH",61,21.4848,69,0.1637,"62114316_794_3_1_-2119","WAZ","Redfish","300-400 ","16-20",1
"62114317_90_3_1_-2133_716",999,0.172,NA,90,25.1,62114317,2019,271,273,"SFA3","RAJA RADIATA = AMBLYRAJA RADIATA","THORNY SKATE",61,24.2945,69,26.7406,"62114317_90_3_1_-2133","WAZ","Skate","200-300 ","21-25",1
